Unique ID,Date Taken (America/New_York),Q2 - Did you switch careers into Data?,Happines- Salary (0-10),Happiness- Work/Life Balence (0-10),Happiness- Coworkers (0-10),Happines- Management (0-10),Happiness- Upward Mobility (0-10),Happiness -Learning New Things (0-10),Q7 - How difficult was it for you to break into Data?,Imp Work Criteria,Q9 - Male/Female?,Q10 - Current Age,Q12 - Highest Level of Education,Month,Current Role-,Current Salary- Lows,Current Salary- Highs,Average Salary,Current Industry,Favorite Programming Language,Q11 - Which Country do you live in?.1,Ethnicity,Previously In Data,Imp Work Criteria (groups),Age Group,Difficulty breaking in
62a33cd8bc6861bf3176c05f,06-10-2022,Yes,2,1,3,3,1,4,Very Difficult,Better Salary,Male,28,,October,Data Analyst,41,65,53,Telecommunication,Python,United States,Hispanic or Latino,In Data,Better Salary ,Youth,4
62a33cf30a77c1a77f65baa2,06-10-2022,Yes,3,8,10,10,7,8,Neither easy nor difficult,Better Salary,Male,32,,October,Data Analyst,0,40,20,Other,Python,Other,White or Caucasian,In Data,Better Salary ,Middle Aged,2
62a33d850f8c8599d5af10cb,06-10-2022,Yes,1,2,4,2,2,2,Neither easy nor difficult,Better Salary,Male,22,,October,Data Analyst,0,40,20,Tech,Python,Other,Black or African American,In Data,Better Salary ,Youth,2
62a33de124a26260273826b2,06-10-2022,No,1,1,1,1,2,1,Very Difficult,Better Salary,Male,28,,October,Data Analyst,0,40,20,Other,Python,Other,Black or African American,In Data,Better Salary ,Youth,4
62a33e54d8c00e9f5419cfe9,06-10-2022,No,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,32,,October,Data Analyst,0,40,20,Finance,Python,Other,Hispanic or Latino,In Data,Better Salary ,Middle Aged,2
62a33e62575fa3a5ae88aabf,06-10-2022,No,7,8,8,8,3,8,Easy,Better Salary,Male,24,,October,Data Analyst,0,40,20,Tech,Python,Other,Black or African American,In Data,Better Salary ,Youth,1
62a33efe0a77c1a77f65bf1e,06-10-2022,No,2,3,5,5,5,5,Difficult,Better Salary,Female,26,,October,Data Analyst,41,65,53,Finance,Python,Canada,Other,In Data,Better Salary ,Youth,3
62a34210cf25554317300c02,06-10-2022,No,4,9,10,9,9,10,Easy,Better Salary,Male,29,Associates,October,Data Analyst,0,40,20,Tech,Python,Other,Hispanic or Latino,In Data,Better Salary ,Youth,1
62a34272f8d5efcc22f7d15f,06-10-2022,No,4,6,4,5,4,4,Neither easy nor difficult,Better Salary,Male,24,Masters,October,Data Analyst,66,85,75.5,Telecommunication,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a343d9f3072dd892622fe4,06-10-2022,Yes,5,6,7,7,7,6,Difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,41,65,53,Tech,Python,United States,Asian or Asian American,In Data,Better Salary ,Youth,3
62a34425f8d5efcc22f7d525,06-10-2022,Yes,3,9,10,8,9,9,Easy,Better Salary,Male,23,Bachelors,October,Data Analyst,41,65,53,Tech,Python,India,Asian or Asian American,In Data,Better Salary ,Youth,1
62a3447a575fa3a5ae88b6c0,06-10-2022,No,2,9,9,8,6,2,Easy,Better Salary,Male,25,Bachelors,October,Data Analyst,0,40,20,Tech,Python,Other,Asian or Asian American,In Data,Better Salary ,Youth,1
62a3452818134ddc75ce9e1b,06-10-2022,Yes,3,5,3,3,5,5,Easy,Better Salary,Male,27,Masters,October,Data Analyst,106,125,115.5,Other,Python,Other,White or Caucasian,In Data,Better Salary ,Youth,1
62a3457bf8d5efcc22f7da17,06-10-2022,No,4,7,6,4,2,4,Easy,Better Salary,Female,27,Masters,October,Data Analyst,125,150,137.5,Tech,Python,United States,Asian or Asian American,In Data,Better Salary ,Youth,1
62a346a95d257a28a30d8cb9,06-10-2022,No,7,8,9,7,7,7,Neither easy nor difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,66,85,75.5,Other,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a34726f8d5efcc22f7dec7,06-10-2022,No,3,4,2,1,1,4,Neither easy nor difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,66,85,75.5,Tech,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a3483018134ddc75cea4e6,06-10-2022,Yes,8,9,9,9,9,8,Very Difficult,Better Salary,Male,23,Bachelors,October,Data Analyst,41,65,53,Finance,Python,India,Asian or Asian American,In Data,Better Salary ,Youth,4
62a348bf2e54c9003e533634,06-10-2022,Yes,4,4,6,4,5,6,Difficult,Better Salary,Female,55,Masters,October,Data Analyst,41,65,53,Finance,Python,United States,Other,In Data,Better Salary ,Middle Aged,3
62a348f2f8d5efcc22f7e2ba,06-10-2022,Yes,9,9,9,9,7,4,Difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,41,65,53,Other,Python,Canada,Asian or Asian American,In Data,Better Salary ,Youth,3
62a349160a77c1a77f65d4db,06-10-2022,Yes,6,9,7,6,7,7,Neither easy nor difficult,Better Salary,Male,28,Masters,October,Data Analyst,66,85,75.5,Other,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a3496e575fa3a5ae88c4e6,06-10-2022,Yes,8,10,9,9,10,8,Neither easy nor difficult,Better Salary,Female,28,Bachelors,October,Data Analyst,0,40,20,Tech,Python,Other,Hispanic or Latino,In Data,Better Salary ,Youth,2
62a349c7cec54911e9ca67c7,06-10-2022,Yes,5,1,4,3,3,4,Easy,Better Salary,Female,38,Bachelors,October,Data Analyst,106,125,115.5,Finance,Python,United States,White or Caucasian,In Data,Better Salary ,Middle Aged,1
62a34a03cec54911e9ca6869,06-10-2022,Yes,1,2,1,5,6,6,Neither easy nor difficult,Better Salary,Female,29,Bachelors,October,Data Analyst,0,40,20,Tech,Python,Other,Black or African American,In Data,Better Salary ,Youth,2
62a34f2af8f7561645854c1c,06-10-2022,No,1,2,8,7,1,1,Difficult,Better Salary,Male,21,Bachelors,October,Data Analyst,41,65,53,Healthcare,Python,United States,Asian or Asian American,In Data,Better Salary ,Youth,3
62a34ff1f408bae018ed601d,06-10-2022,No,2,6,2,3,2,2,Easy,Better Salary,Male,26,Masters,October,Data Analyst,41,65,53,Other,Python,Other,White or Caucasian,In Data,Better Salary ,Youth,1
62a3505bd8c00e9f5419f8df,06-10-2022,Yes,3,5,4,5,4,4,Neither easy nor difficult,Better Salary,Female,31,Bachelors,October,Data Analyst,66,85,75.5,Healthcare,Python,United States,White or Caucasian,In Data,Better Salary ,Middle Aged,2
62a35130f3072dd892624d9f,06-10-2022,Yes,2,6,6,5,4,5,Easy,Better Salary,Female,26,Bachelors,October,Data Analyst,0,40,20,Healthcare,Python,Other,White or Caucasian,In Data,Better Salary ,Youth,1
62a3519b24a262602738514a,06-10-2022,Yes,9,10,10,10,7,9,Neither easy nor difficult,Better Salary,Female,39,Bachelors,October,Data Analyst,66,85,75.5,Tech,Python,United States,Black or African American,In Data,Better Salary ,Middle Aged,2
62a35541f3072dd892625517,06-10-2022,Yes,5,5,7,7,7,7,Easy,Better Salary,Male,32,Bachelors,October,Data Analyst,41,65,53,Other,Python,United Kingdom,White or Caucasian,In Data,Better Salary ,Middle Aged,1
62a35b965d257a28a30db899,06-10-2022,Yes,1,1,7,1,1,9,Difficult,Better Salary,Male,33,Bachelors,October,Data Analyst,66,85,75.5,Other,Python,Canada,Asian or Asian American,In Data,Better Salary ,Middle Aged,3
62a35ba3f3072dd892626068,06-10-2022,Yes,8,10,10,10,10,10,Easy,Better Salary,Male,28,Bachelors,October,Data Analyst,66,85,75.5,Other,Python,United States,Hispanic or Latino,In Data,Better Salary ,Youth,1
62a35f0d24a2626027386a8b,06-10-2022,No,3,3,4,1,2,2,Neither easy nor difficult,Better Salary,Male,29,Masters,October,Data Analyst,66,85,75.5,Healthcare,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a361af0f8c8599d5af6277,06-10-2022,Yes,1,1,1,1,1,1,Very Difficult,Better Salary,Male,34,Bachelors,October,Data Analyst,0,40,20,Education,Python,Other,Black or African American,In Data,Better Salary ,Middle Aged,4
62a36275bc6861bf31771183,06-10-2022,Yes,6,8,10,9,7,9,Easy,Better Salary,Male,27,Bachelors,October,Data Analyst,41,65,53,Other,Python,United States,Other,In Data,Better Salary ,Youth,1
62a3636c2e54c9003e536e6b,06-10-2022,No,1,2,4,4,4,5,Neither easy nor difficult,Better Salary,Male,21,Bachelors,October,Data Analyst,0,40,20,Finance,Python,India,Asian or Asian American,In Data,Better Salary ,Youth,2
62a3670b575fa3a5ae890422,06-10-2022,Yes,1,1,1,1,1,2,Difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,0,40,20,Tech,Python,India,Asian or Asian American,In Data,Better Salary ,Youth,3
62a36794b4da29969c633b48,06-10-2022,No,6,5,6,5,6,6,Neither easy nor difficult,Better Salary,Male,30,Masters,October,Data Analyst,0,40,20,Finance,Python,Other,Other,In Data,Better Salary ,Youth,2
62a3684ebc6861bf31771f15,06-10-2022,No,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,106,125,115.5,Finance,Python,United States,White or Caucasian,In Data,Better Salary ,Youth,2
62a36b6c24a26260273882a2,06-10-2022,Yes,1,2,2,3,3,4,Neither easy nor difficult,Better Salary,Male,28,Masters,October,Data Analyst,0,40,20,Education,Python,Other,Black or African American,In Data,Better Salary ,Youth,2
62a36d3124a262602738862c,06-10-2022,Yes,5,8,8,9,7,9,Very Easy,Better Salary,Male,26,Bachelors,October,Data Analyst,0,40,20,Telecommunication,Python,Other,Other,In Data,Better Salary ,Youth,0
62a36fe67dc029e2d66c5303,06-10-2022,Yes,1,4,9,7,8,10,Easy,Better Salary,Male,33,Bachelors,October,Data Analyst,0,40,20,Tech,Python,Other,Hispanic or Latino,In Data,Better Salary ,Middle Aged,1
62a370635d257a28a30de5eb,06-10-2022,Yes,1,1,1,1,1,1,Very Difficult,Better Salary,Male,35,Bachelors,October,Data Analyst,0,40,20,Finance,Python,India,Other,In Data,Better Salary ,Middle Aged,4
62a3715124a2626027388f02,06-10-2022,No,4,7,9,5,2,8,Easy,Better Salary,Male,23,Bachelors,October,Data Analyst,0,40,20,Real Estate,Python,Other,White or Caucasian,In Data,Better Salary ,Youth,1
62a37a43d8c00e9f541a4a7c,06-10-2022,Yes,4,7,8,7,8,8,Difficult,Better Salary,Male,31,Bachelors,October,Data Analyst,0,40,20,Finance,Python,Other,Black or African American,In Data,Better Salary ,Middle Aged,3
62a37a7818134ddc75cf0d4c,06-10-2022,No,1,10,10,10,10,10,Difficult,Better Salary,Male,22,Bachelors,October,Data Analyst,0,40,20,Healthcare,Python,Other,Native Hawaiian or other Pacific Islander,In Data,Better Salary ,Youth,3
62a37aa1cf255543173081e5,06-10-2022,No,3,5,5,5,3,3,Very Difficult,Better Salary,Male,29,Masters,October,Data Analyst,66,85,75.5,Finance,Python,United States,Hispanic or Latino,In Data,Better Salary ,Youth,4
62a37bab2e54c9003e53a10a,06-10-2022,Yes,5,9,10,10,5,10,Neither easy nor difficult,Better Salary,Male,26,Bachelors,October,Data Analyst,66,85,75.5,Other,Python,United States,Black or African American,In Data,Better Salary ,Youth,2
62a3856218134ddc75cf1ee0,06-10-2022,Yes,6,10,9,9,9,10,Difficult,Better Salary,Male,35,Bachelors,October,Data Analyst,66,85,75.5,Finance,Python,United States,Hispanic or Latino,In Data,Better Salary ,Middle Aged,3
62a38975b4da29969c637830,06-10-2022,No,3,6,6,6,4,3,Neither easy nor difficult,Better Salary,Male,26,Bachelors,October,Data Analyst,0,40,20,Other,Python,Other,Hispanic or Latino,In Data,Better Salary ,Youth,2
62a389b70f8c8599d5afad1a,06-10-2022,No,3,5,4,5,4,2,Neither easy nor difficult,Better Salary,Male,29,Bachelors,October,Data Analyst,0,40,20,Tech,Python,India,Asian or Asian American,In Data,Better Salary ,Youth,2
62a393330a77c1a77f6662e4,06-10-2022,No,3,8,7,5,8,7,Neither easy nor difficult,Better Salary,Male,22,Bachelors,October,Data Analyst,0,40,20,Tech,Python,India,Other,In Data,Better Salary ,Youth,2
62a39b6cf408bae018ede929,06-10-2022,No,8,8,9,9,8,7,Neither easy nor difficult,Better Salary,Male,27,Bachelors,October,Data Analyst,0,40,20,Other,Python,Other,Hispanic or Latino,In Data,Better Salary ,Youth,2
62a39e03f408bae018eded39,06-10-2022,No,6,6,10,8,6,8,Neither easy nor difficult,Better Salary,Male,25,Bachelors,October,Data Analyst,0,40,20,Other,Python,Other,White or Caucasian,In Data,Better Salary ,Youth,2
62a3a3800f8c8599d5afd4db,06-10-2022,Yes,9,10,10,9,8,10,Difficult,Better Salary,Female,31,Bachelors,October,Data Analyst,66,85,75.5,Other,Python,United States,White or Caucasian,In Data,Better Salary ,Middle Aged,3
62a3a4fdbae91e4b8b83ab6f,06-10-2022,Yes,4,9,8,8,6,10,Neither easy nor difficult,Better Salary,Female,33,Masters,October,Data Analyst,41,65,53,Tech,Python,Canada,Black or African American,In Data,Better Salary ,Middle Aged,2
